title,year,imdb_id
Inception,2010,tt1375666
Parasite,2019,tt6751668
The Matrix,1999,tt0133093
Spirited Away,2001,tt0245429
Pulp Fiction,1994,tt0110912
The Grand Budapest Hotel,2014,tt2278388
Mad Max: Fury Road,2015,tt1392190
Whiplash,2014,tt2582802
Blade Runner 2049,2017,tt1856101
Everything Everywhere All at Once,2022,tt6710474
The Dark Knight,2008,tt0468569
Interstellar,2014,tt0816692
Get Out,2017,tt5052448
La La Land,2016,tt3783958
Arrival,2016,tt2543164
The Shawshank Redemption,1994,tt0111161
Spider-Man: Into the Spider-Verse,2018,tt4633694
No Country for Old Men,2007,tt0477348
Her,2013,tt1798709
Dune,2021,tt1160419
